id,title,original_title,overview,release_date,popularity,vote_average,vote_count,original_language,adult,poster_path,backdrop_path,genre_ids
157336,Interstellar,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014-11-05,60.7595,8.462,38129,en,False,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,/5XNQBqnBwPA9yT0jZ0p3s8bbLh0.jpg,"12,18,878"
429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",1966-12-22,11.7616,8.462,9220,it,False,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,/Adrip2Jqzw56KeuV2nAxucKMNXA.jpg,37
769,GoodFellas,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",1990-09-12,17.0894,8.454,13733,en,False,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,/sw7mordbZxgITU877yTpZCud90M.jpg,"18,80"
346,Seven Samurai,七人の侍,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",1954-04-26,9.8766,8.5,4012,ja,False,/lOMGc8bnSwQhS4XyE1S99uH8NXf.jpg,/mzI1JXm8sX5fia3ifPS2jGPUh2n.jpg,"28,18"
12477,Grave of the Fireflies,火垂るの墓,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",1988-04-16,0.0103,8.447,6166,ja,False,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,/dlC0ed9Ugh3FzydnkBtV5lRXUu4.jpg,"16,18,10752"
637,Life Is Beautiful,La vita è bella,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,1997-12-20,11.6452,8.44,13599,it,False,/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg,/6aNKD81RHR1DqUUa8kOZ1TBY1Lp.jpg,"35,18"
550,Fight Club,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",1999-10-15,21.6223,8.438,30923,en,False,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,/5TiwfWEaPSwD20uwXjCTUqpQX70.jpg,"18,53"
667257,Impossible Things,Cosas imposibles,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",2021-06-17,3.0431,8.435,415,es,False,/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg,/bxSBOAD8AuMHYMdW3jso9npAkgt.jpg,"10751,18"
14537,Harakiri,切腹,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",1962-09-15,6.0453,8.4,1124,ja,False,/3nPwMd3KviJWaHzG9fZCqlwWMas.jpg,/e3hG3uadtcP0pYdRa5ch4ysQW76.jpg,"28,18,36"
11216,Cinema Paradiso,Nuovo Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",1988-11-17,6.0575,8.4,4639,it,False,/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,/zoVeIgKzGJzpdG6Gwnr7iOYfIMU.jpg,"18,10749"
